职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
大良/朝九晚六+银行经理助理+周末双休,5-8千,佛山·顺德区,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;周末双休;节日福利;带薪年假;提成,业务拓展;商业拓展;代发;朝九晚六;节假日,金融 银行 银行卡
银行行政前台,6-8千,无锡,无需经验,大专,江苏领航服务外包有限公司,专业服务(咨询、人力资源、财会),民营,150-500人,五险一金,酒店管理;旅游;空乘;红酒品鉴,
银行行长,40-60万/年,,5年及以上,本科,上海黄钻企业管理咨询有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金,团队管理;运营管理;经济;风险管理;信贷;业务策略;业务发展计划,市场营销 金融 银行
市场营销管培生（银行）,8-11万/年,莆田,在校生/应届生,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,人才储备,业务营销 零售金融 企业金融
销售服务顾问（银行渠道）,6-8千,天津·河西区,2年及以上,大专,同方全球人寿保险有限公司北京分公司,保险,合资,500-1000人,五险一金;绩效奖金;员工旅游;带薪年假;餐饮补贴;周末双休;节日福利;定期体检,定期团建;试用期全额,
［国企］银行客服专员+周末双休,6千-1.2万,成都·龙泉驿区,无需经验,大专,江西泰盈科技有限公司,互联网/电子商务,合资,10000人以上,生日福利;五险一金;周末双休;补贴,奖金;上五休二;8小时;节假日;月休8天,
银行融资总监,8千-1.6万·13薪,南昌·红谷滩区,5年及以上,本科,南昌璟泉数字科技有限公司,计算机服务(系统、数据服务、维修),民营,少于50人,五险一金;绩效奖金,团队管理;经济;市场动态;谈判技巧;融资产品;项目案例,金融 银行 销售策略 金融机构融资
中信银行账单分期五险一金7000+,7千-1.2万,沈阳·沈河区,无需经验,高中,百斯特佩捷软件技术服务（辽宁省）有限公司,电子技术/半导体/集成电路,民营,未知,餐补;五险一金;带薪年假;带薪旅游;公司福利;绩效提成;培训,奖金;底薪;生日会;团建聚餐,银行 银行系统
外资航空-客服经理（粤语纯正英语流利）,20-25万/年,广州·越秀区,10-12年,大专,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,下午茶;年终奖金;双休;五险一金;年终奖;交通补贴;年假;医疗保险,月休8天;产假;年度体检;8小时;津贴,
总行财税管理相关岗位,1.1-1.3万,泉州·丰泽区,3年及以上,硕士,泉州银行股份有限公司,银行,国企,1000-5000人,五险一金;绩效奖金;带薪年假;定期体检;节日福利,税务处理;税务;财税政策;税务管理;税务规划,银行财税
中信银行客服 五险一金,4-8千,昆明,无需经验,大专,云南佰胜企业管理有限公司,银行,民营,150-500人,五险一金;专业培训;带薪年假;节假日福利,全勤奖;团建活动,
客户经理岗（银川）(011653),8千-1.5万,银川·金凤区,1年,本科,中信银行信用卡中心银川分中心,银行,国企,500-1000人,,产品推广;信用卡;风险防控;前端风险防范,客户服务 金融产品 客户关系维护 商业银行 信用卡营销 创新营销
威海银行文职客服-五险一金,4-6千,济南,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;节日福利;晋升空间;培训,奖金;提供住宿;8小时;月休8天;双人间;上五休二;工作稳定;团建活动,
河北石家庄国企中信银行26届实习生档案文员,4千/天,石家庄·长安区,在校生/应届生,大专,河北猎达人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,专业培训;节日福利;员工旅游;定期体检;带薪年假;绩效奖金;五险一金,有转正机会;实习证明;时间自由;包住,
银行客服,5-6千,郑州·二七区,无需经验,中技/中专,广西云铁轨道科技有限公司,计算机软件,民营,未知,带薪培训;五险;下午茶;社保;绩效奖金;提成,奖金;员工食堂;工作轻松;节假日休;晋升;法定节假;提供宿舍,
银行大堂助理（周末双休南丹）,3-4千,河池·南丹县,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,缴纳五险;周末双休;绩效提成,接待客户,电子银行 手机银行 激活电子银行 网上银行 银行网点
银行客服专员,6-7千,沈阳·和平区,无需经验,大专,长沙惠邦网络科技有限公司辽宁分公司,银行,民营,5000-10000人,五险一金;带薪年假;双休;培训;带薪旅游;绩效提成;公司福利,奖金;满勤奖;生日会;底薪;团建聚餐;无需外出,
BK822K-平安银行玉溪支行贵宾理财经理,10-15万/年,玉溪,1年,本科,平安银行股份有限公司昆明分行,银行,已上市,500-1000人,补充医疗保险;餐补;五险一金;节日福利;带薪年假,,
公司客户经理,2-4万,深圳·南山区,2年及以上,本科,杭州银行股份有限公司深圳分行,银行,已上市,500-1000人,五险一金;通讯补贴;专业培训;午餐补助;技能培训,客户资源;市场开拓,银行 客户关系维护 经济金融 营销跟进
银行业务助理（双休，五险，不加班）,2.8-3.2千,黔西南·册亨县,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险;不加班;双休,数据;客户资料收集;办公系统软件;收集资料;电话联系客户,协助开展营销
正规银行贷款（扩招5名）,1-2万,成都·成华区,无需经验,高中,成都乐薪信息科技有限公司,计算机软件,民营,未知,年终奖;绩效奖金;带薪年假;带薪培训;高提成,客户资源;贷款手续;无责底薪;工龄奖;奖金;旅游;大平台,
风险管理部-投资风控岗,8千-1.5万,无锡·梁溪区,5年及以上,本科,国联人寿保险股份有限公司,保险,国企,500-1000人,保险;五险一金;定期体检;年终奖金;带薪年假;节日福利;补充医疗保险;交通补贴,财务;基金;经济,金融 银行
银行商户经理（广州双休）,5-8千,广州,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,周末双休,产品介绍;征信;机器维护;耗材配送;收款二维码;巡检;底薪,银行支付 辅助营销
银行理财经理,35-40万/年,惠州,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,节日福利,业务咨询;处理客户投诉;理财规划;控制风险;收集客户,金融 银行 营销策划 营销服务 宣传营销
华南银行机构客户经理,2-3万,深圳,3年及以上,硕士,前海开源基金管理有限公司,金融/投资/证券,民营,150-500人,绩效奖金;年终奖金;员工旅游;定期体检;餐饮补贴;带薪年假;节日福利;培训,,
高级金融服务主任-环球贸易及融资部-佛山,7.3-9千,佛山·南海区,3-4年,本科,汇丰环球客户服务（广东）有限公司,金融/投资/证券,外资（欧美）,10000人以上,五险一金;绩效奖金;带薪年假;补充医疗保险;定期体检;专业培训,进出口;信用证;国际贸易;国际结算,贸易银行
须本科/银行单位 8200,8千-1.2万,成都·青羊区,无需经验,本科,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪培训;下午茶;不加班;餐补;福利多多,坐班;行政班;提供宿舍;晋升机会;早九晚六;团建聚餐,
建设银行客服（无压力双休）,4-6千,重庆·渝北区,无需经验,中技/中专,重庆勤通网络科技服务有限公司,银行,民营,150-500人,五险一金;专业培训;双休;周末双休;绩效奖金;假日福利;岗位补贴;购买五险,节假日;津贴;底薪;员工活动,
乌海/副业/银行收款码牌推广-上班不打卡时间自由,4.5-5.5千,乌海,无需经验,,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,上岗培训,时间自由;推广;地推;智能手机app;介绍产品,销售
金融/反洗钱审核专员,3-6千,武汉·洪山区,1年及以上,大专,上海微创软件股份有限公司,计算机软件,合资,10000人以上,五险一金;补充医疗保险,运营;审核;客服;抖音;反洗钱;风控;资质审核;信息处理;免费班车,银行 消费金融
中信银行管培生/不销售带薪培训,6千-1万,西安,无需经验,高中,陕西壁小虎数据科技有限公司西安分公司,计算机服务(系统、数据服务、维修),民营,未知,带薪培训,问题解答;服务体验;日常咨询,银行系统
［国企］银行客服+早九晚六双休,6千-1万,成都·龙泉驿区,无需经验,大专,江西泰盈科技有限公司,互联网/电子商务,合资,10000人以上,五险一金;带薪培训;双休;周末双休,朝九晚六;提供住宿;早九晚六;节假日;全勤,
银行辅助柜员（带薪培训+工作轻松）,4-6千,绍兴·诸暨市,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,社保;带薪培训;双休,柜员;就近分配;上市企业;团建活动,金融 银行
国内外双上市银行贷款S3级客户经理月薪8W,7.5-8.5万,无锡·梁溪区,3年及以上,大专,上海裕杰信息科技有限公司,外包服务,民营,150-500人,高底薪;提成高;补充公积金;员工旅游,信贷;大绩优;无责任底薪;工资超高;贷款业务;个人贷款,销售 大客户经理
可转编-五险一金-就近分-湖北银行消金驻点,5千-1万,武汉,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,生日福利;带薪年假;五险一金;周末双休;缴纳五险;做五休二;节日福利,业务拓展;客户经营;无责底薪;朝九晚六,
面试当天发offer，来就通过，银行坐席，五险一金,8千-1.2万,深圳·南山区,无需经验,,上海志行合力网络技术有限公司,通信/电信运营、增值服务,民营,1000-5000人,带薪年假;带薪培训;缴纳五险;五险一金;保险,兼职;旅游;上不封顶;无需外出;产假;住宿,
个人银行客户经理(财富方向) ID177027,1.6-3.2万,西安·碑林区,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,财务;维护客户关系;客户资源;理财,销售 市场营销 金融 营销策略 营销推广 渠道拓展
平安银行大堂经理双休（银行正编）,5-8千,南昌,1年及以上,本科,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,缴纳五险;五险一金;带薪年假;三节福利;双休,处理客户投诉;客户咨询;宣传资料;客户填单;受理客户意见,银行大堂
银行服务顾问,5千-1万,肇庆·端州区,1年及以上,大专,太平人寿保险有限公司肇庆中心支公司,保险,国企,500-1000人,银行保险;保险;晋升空间,理财;资产配置;央企;职级津贴;津贴;佣金,银行 金融销售 渠道销售 投资 销售辅助
可转行编 银行坐班咨询解答 无销,7-9千,北京·丰台区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,五险一金;节日福利;带薪年假;带薪培训;双休,夜班补助;员工食堂;可转行编,
个人银行客户经理(财富方向) ID177027,1.6-3.2万,沈阳·沈河区,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,财务;维护客户关系;客户资源;理财,销售 市场营销 金融 营销策略 营销推广 渠道拓展
银行客户经理10k+（就近分配）,1-1.5万,上海,无需经验,本科,河北银聘企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;缴纳五险;周末双休;培训;提成;补贴,客户;就近分配;无责底薪;底薪;六险一金;法定节假;节假日,
农业银行金融专员-五险一金,8千-1.6万,石家庄·鹿泉区,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险;五险一金;工会福利;单双休;健康体检;提成,员工食堂;坐班;大小周;团建活动;底薪;法定节假;社团活动,
银行后台客服 可接受应届生实习,5-7千,天津·红桥区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,周末双休;节日福利;缴纳五险;五险一金;培训;补贴,奖金;团队聚餐;法定节假;节假日;团队建设;职工食堂;体检,
银行外拓经理,1-2万,温州,无需经验,大专,四川金投科技股份有限公司,计算机服务(系统、数据服务、维修),民营,150-500人,节日福利;周末双休,维护客户关系;经济;信贷;客户开拓;业务办理;征信,销售 市场营销 金融 市场推广
银行保险服务顾问,5千-1万,肇庆·端州区,1年,大专,太平人寿保险有限公司肇庆中心支公司,保险,国企,500-1000人,银行保险;保险;培训,全职;晋升,银行 渠道销售 金融
银行文员（可兼职+周末双休）,3-3.5千,咸阳,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,带薪培训;周末双休;带薪年假,文职;兼职;工作轻松;坐班;节假日休,
银行电话客服/纯接听/上五休二,4.5-6千,广州·越秀区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,年终奖;带薪年假;下午茶;五险一金;生日福利;培训;补贴,季度奖金;季度奖;上不封顶;底薪;食堂;上五休二,
银行项目+信控客服+五险一金,6千-1.1万,石家庄·长安区,无需经验,中技/中专,广东德律信用管理股份有限公司广州第二分公司,银行,民营,5000-10000人,下午茶;节日福利;五险一金;晋升空间;入职培训;岗位补贴;岗位培训,岗位晋升;奖金;团建;节假日;底薪;产假,
银行电话客服,8千-1.2万,上海,无需经验,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,培训;五险一金,客户沟通;维护客户关系;产品,销售
银行单位/8200/需大专,8千-1.2万,武汉,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,下午茶;不加班;餐补;带薪培训;五险一金;周末双休;补充医疗保险;员工旅游,坐班;行政班;线上办公;无试用期,
软件开发工程师（银行正式岗）,2-2.5万,沈阳,3年及以上,本科,猎创企聘（四川）科技有限公司,贸易/进出口,民营,未知,,计算机;java;mysql;oracle;spring;linux;mybatis;redis;开发;maven,
银行渠道经理,8千-1.5万·13薪,深圳·龙岗区,5年及以上,本科,聚六福投资（深圳）有限公司,金融/投资/证券,民营,150-500人,五险一金;绩效奖金;专业培训;年终奖金;节日福利;带薪年假;通讯补贴;员工旅游;周末双休;做五休二,全勤奖,
银行厨师东城周末双休五险一金,4.5-4.6千,东莞·东城区,3年及以上,,佛山市银泰商务服务有限公司,外包服务,民营,500-1000人,五险一金;节日福利;专业培训;带薪年假;五险;高温补贴;周末双休,健康证;粤菜;厨房;厨师;炒锅;节假日休,
银行大堂经理助理（五险）,3-6千,呼和浩特·回民区,无需经验,本科,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,绩效奖金;节日福利;五险;带薪年假;专业培训,大堂引导员;上五休二,银行
泰隆银行嘉兴分行业务管理岗(J12654),1-1.5万·14薪,嘉兴·南湖区,1-3年,本科,浙江泰隆商业银行股份有限公司嘉兴分行,银行,民营,5000-10000人,,数据分析;业务管理;队伍建设,
国有银行 行政班 双休客服,6-8千,天津·红桥区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,五险一金;节日福利;带薪年假;做五休二;双休法休,有食堂,
非常差人，真的不难，银行客服，五险一金住宿,7千-1.2万,深圳·南山区,无需经验,,上海志行合力网络技术有限公司,通信/电信运营、增值服务,民营,1000-5000人,五险一金;带薪培训;带薪年假;缴纳五险;保险,兼职;旅游;产假;上不封顶;住宿;无需外出,
银行直招两个后台7800,7千-1.1万,成都·青羊区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,不加班;带薪培训;五险一金,法定节假;节假日;无试用期;行政班;六险一金;工作简单;氛围轻松;节假日休;食宿,
银行打字录入-周末双休/法休,3-6千,武汉,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,周末双休;补贴;培训;带薪年假;年终奖金;绩效奖金;项目奖金;专业培训,多劳多得;节假日;环境舒适;法定节假,
银行坐班 六日双休,5-7千,天津·红桥区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,五险一金;节日福利;带薪培训;双休法休,无需外出;晋升机制;朝九晚六,
双休+邮储银行大堂引导员7K,6-8千,北京,1年及以上,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,节日福利;五险一金,业务指导;客户分流引导;宣传资料整理;设备检查;秩序维护;客户转介,客户服务 银行大堂经理
银行分期通客服（保底4000成都）,5千-1万,成都·青羊区,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,五险一金;专业培训;带薪年假;带薪培训;节日福利;餐补;提成,定期团建;无责底薪;大小休;节假日;法定节假,
天府四街 7200 双休/银行,5.8-8千,成都·武侯区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪年假;带薪休假;双休;社保;下午茶;假日福利,定期团建;无责底薪;奖金;节假日;行政班;无需外出,
银行文职接听 包住,7-9千,北京·石景山区,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,五险一金;节日福利;带薪培训,包住;员工食堂;8小时;无需外出;晋升机制;坐班无外出,
六险一金-周休2天-银行社区经理,7千-1.2万,郑州,1年及以上,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,做五休二;节日福利;业务提成;五险一金;带薪年假;年终奖金;绩效奖金,就近分配;底薪;六险一金;法定节假;节假日,
银行产品/无责6000/精准客户,8千-1.3万,成都·成华区,无需经验,大专,成都乐薪信息科技有限公司,计算机软件,民营,未知,带薪年假;年终奖;带薪培训;高提成;培训,无责底薪;奖金;旅游;每月奖金;晋升机制;高薪;00后;法定节假,
银行直招两个后台7800,7千-1.1万,成都·青羊区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,不加班;带薪培训;五险一金,法定节假;节假日;无试用期;行政班;六险一金;工作简单;氛围轻松;节假日休;食宿,
银行后台登记专员月薪/提供住宿,7千-1.2万,合肥·包河区,无需经验,大专,安徽泰盈信息科技有限公司,电子技术/半导体/集成电路,民营,未知,带薪休假;带薪培训;下午茶;餐补;不加班,提供住宿;奖金;宿舍;法定节假;八小时;团建;生日会;节假日;住宿,
银行呼入电话客服（五险一金+月休8天）,5-5.5千,重庆·渝北区,1-2年,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;缴纳五险;餐补,月休8天;打字;服务;客户进线,银行客服
银行大堂经理（鄞州）,5.5-7.5千,宁波·鄞州区,1-2年,本科,宁波浙外人力资源服务有限公司,专业服务(咨询、人力资源、财会),国企,50-150人,五险一金;企业年金,客户接待;迎送客户;服务业;引导分流客户;差异化服务;接收客户咨询;现场服务,销售 金融系统
银行招2个客服信息处理7K,8千-1.2万,武汉,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,下午茶;不加班;五险一金;带薪培训;带薪休假;餐补;节日福利;福利多多,行政班;节假日;食宿;法定节假;团建,
无责4500-银行审核专员,7千-1.4万,眉山·东坡区,无需经验,高中,成都乐薪信息科技有限公司,计算机软件,民营,未知,生日福利;带薪年假;带薪培训;五险;高提成;培训,旅游;定期团建;无责底薪;业绩奖金;上不封顶;晋升通道,
银行打字录入-周末双休/法休,3-6千,武汉,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,周末双休;补贴;培训;带薪年假;年终奖金;绩效奖金;项目奖金;专业培训,多劳多得;节假日;环境舒适;法定节假,
国内外双上市银行贷款S2级客户经理月薪5W,4.5-5.5万,常州·武进区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,高底薪;提成高;不加班;保险,无责任底薪;平台好;个人贷款;贷款业务;工资高,优秀销售员 银行 大客户经理
银行客服专员,6-7千,沈阳·和平区,无需经验,大专,长沙惠邦网络科技有限公司辽宁分公司,银行,民营,5000-10000人,五险一金;带薪年假;双休;培训;带薪旅游;绩效提成;公司福利,奖金;满勤奖;生日会;底薪;团建聚餐;无需外出,
银行客服（双休长沙）,5千-1万,长沙,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,专业培训;带薪培训;五险;带薪年假;双休;周末双休;五险一金;不加班;业绩提成,定期团建;大小周;节假日休,
平安银行大堂经理双休（银行正编）,5-8千,南昌,1年及以上,本科,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;三节福利;双休;带薪年假;缴纳五险,处理客户投诉;客户咨询;宣传资料;客户填单;受理客户意见,银行大堂
6800 银行后台 无试用,7-9千,成都·成华区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪休假;下午茶;补贴,节假日;有人带;氛围轻松;8小时;底薪;上不封顶;工作简单;周末休,
银行大堂助理-深圳蛇口支行,6-6.2千,深圳,无需经验,大专,京北方信息技术股份有限公司BPO,计算机服务(系统、数据服务、维修),民营,10000人以上,五险一金;节日福利;带薪年假;专业培训;绩效奖金;年终奖金,引导取号;指导填单;业务解释;处理客户投诉;弹性工作,
银行坐班客服（五险一金+有食堂+有双休）,6千-1万,太原,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,双休;五险一金;带薪培训,坐班;电话沟通,
银行后台文员入职六险二金,6-8千·13薪,成都·青羊区,无需经验,,招商信诺人寿保险有限公司成都电话销售中心,银行,民营,5000-10000人,福利好;带薪年假;带薪病假;带薪培训,朝九晚六;六险一金;假期多;旅游;免费体检;员工生日,银行平台
五险一金-双休-建设银行校对录入,3-5千,武汉,1年及以上,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险;双休;五险一金;餐补;晋升空间,员工食堂;坐班;无责底薪;8小时;人性化;晋升机制;住宿;员工折扣,
银行客服坐席（保底4500江门）,5千-1万,江门·蓬江区,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,五险一金;带薪年假;专业培训;提成,奖金;无责底薪;定期团建;大小周;节假日休;团建活动;晋升;大小休,
银行后台 7800不限经验,6千-1万,成都·武侯区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪培训;下午茶;不加班;带薪休假,旅游;兼职;报销车费;团建;节假日;法定节假;行政班;提供宿舍,
直招（直签）银行分期客服,8千-1.6万·13薪,成都·青羊区,无需经验,,招商信诺人寿保险有限公司成都电话销售中心,银行,民营,5000-10000人,带薪病假;带薪培训;带薪年假;培训;假日福利,旅游;免费体检;晋升;团队建设;大平台;生日会;员工生日;节假日,
民生银行客服+五险+提供住宿,4-6千,南宁·良庆区,无需经验,高中,广西大棚轨道科技有限公司,生活服务,民营,50-150人,五险;带薪年假;带薪培训;餐补;年终奖金;专业培训;五险齐全,提供住宿;多劳多得;行政班;节假日;月休8天,
平安银行大堂经理双休（银行正编）,5-8千,南昌,1年及以上,本科,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;三节福利;双休;带薪年假;缴纳五险,处理客户投诉;客户咨询;宣传资料;客户填单;受理客户意见,银行大堂
天府四街 7000银行 双休,6.5-8千,成都·武侯区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪休假;带薪年假;双休;带薪培训;不加班;下午茶;餐补;假日福利;购买五险,坐班;行政班;无需外出,
银行客服-接受小白-早九晚六,6千-1.2万,成都·锦江区,无需经验,中技/中专,广东德律信用管理股份有限公司广州第二分公司,银行,民营,5000-10000人,下午茶;五险一金;提成;年假;福利年假,工作轻松;工龄奖;团建;聚餐;产假;底薪;生日会;法定假;氛围轻松,
银行电话销售（郑州五险一金保底4K）,5千-1万,郑州,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,五险一金;专业培训;带薪年假;提成;补贴,定期团建;节假日;大小休;法定节假;上六休一;电销,销售 电话营销
银行逾期提醒+入职缴纳五险一金,8千-1万,南宁·良庆区,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金,逾期提醒,
银行录入文员/带薪培训,3.5-4.5千,武汉·江汉区,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,带薪年假;社保;带薪培训;生日福利;培训,文职;打字录入;资料信息录入;工作轻松;法定节假;上市企业;节假日休,
银行资料员,6-8千,佛山·禅城区,无需经验,,佛山市博安信息科技有限公司,银行,民营,少于50人,下午茶;带薪休假;提成,客户资源;大小周;旅游;奖金;坐班;无责底薪;生日礼品;节假日;聚餐;环境舒适,
银行坐席客服（住宿+五险一金）,1-1.5万,广州·天河区,无需经验,,上海志行合力网络技术有限公司,通信/电信运营、增值服务,民营,1000-5000人,系统培训;缴纳五险;提成;公司福利,无责底薪;旅游团建;团建活动;职业发展;法定节假;住宿;月度奖金;季度奖金,
农业银行准时发薪的后台岗/客服/社保齐全稳定,8千-1.2万,石家庄·鹿泉区,1年,中技/中专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,带薪年假;社保;带薪培训;带薪休假;缴纳五险,定期团建;奖金;岗位晋升;免费体检;大小周;上不封顶;文娱活动,
国内外双上市银行贷款S1级客户经理月薪2W,1-2万,无锡·梁溪区,无需经验,大专,上海裕杰信息科技有限公司,外包服务,民营,150-500人,交通补贴;通讯补贴;绩效奖金;定期体检;员工旅游;五险一金;补充医疗保险,维护客户;信贷;贷前;弹性工作,销售
银行客诉专员（每年涨底薪+周末双休）,8.5千-1万,上海,1年及以上,本科,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,带薪年假;周末双休;带薪培训;五险一金,法定节假;客诉处理;客诉,银行
银行账单分期专员五险一金15000+,1.5-2万,上海·长宁区,无需经验,高中,百斯特佩捷软件技术服务（辽宁省）有限公司,电子技术/半导体/集成电路,民营,未知,带薪年假;五险一金;年终奖励;年假;培训;带薪旅游,奖金;提供住宿;底薪;社团活动;员工活动;满勤奖;生日会,
平安银行大堂经理双休（银行正编）,5-8千,南昌,1年及以上,本科,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,缴纳五险;五险一金;带薪年假;三节福利;双休,处理客户投诉;客户咨询;宣传资料;客户填单;受理客户意见,银行大堂
银行电话销售（郑州五险一金保底4K）,5千-1万,郑州,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,五险一金;专业培训;带薪年假;提成;补贴,定期团建;节假日;大小休;法定节假;上六休一;电销,销售 电话营销
个人银行客户经理(财富方向) ID177027,1.6-3.2万,上海,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,财务;维护客户关系;客户资源;理财,销售 市场营销 金融 营销策略 营销推广 渠道拓展
国企银行坐岗+接受应届生+提供住宿,6千-1.2万,西安,无需经验,,广东鸿联九五信息产业有限公司,外包服务,国企,10000人以上,社保;年假;培训;带薪培训,定期团建;提供住宿;坐班;坐岗;周末单休,银行后台
正规银行贷款经理,8千-1万,成都·成华区,无需经验,,成都乐薪信息科技有限公司,计算机软件,民营,未知,年终奖;高提成,客户资源;贷款手续;无责底薪;奖金;工龄奖;大平台;内部晋升,
银行客服坐席（保底4500江门）,5千-1万,江门·蓬江区,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,五险一金;带薪年假;专业培训;提成,奖金;无责底薪;定期团建;大小周;节假日休;团建活动;晋升;大小休,
银行保险顾问（武汉） (MJ000160),7千-1.2万·13薪,武汉·江汉区,1-3年,本科,招商信诺人寿保险有限公司湖北分公司,保险,合资,5000-10000人,银行保险;培训;保险;五险一金;定期体检;绩效奖金;专业培训,辅导;产品宣传,销售 客户服务 销售管理
农业银行准时发薪的后台岗/客服/社保齐全稳定,8千-1.2万,石家庄·鹿泉区,1年,中技/中专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,带薪年假;社保;带薪培训;带薪休假;缴纳五险,定期团建;奖金;岗位晋升;免费体检;大小周;上不封顶;文娱活动,
个人银行客户拓展部 业务拓展岗 ID177070,7千-1.4万,上海,3年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险;专业培训;年终奖金;定期体检,渠道资源;团队合作;经济,销售 客户营销 金融
民生银行客服+五险+提供住宿,4-6千,南宁·良庆区,无需经验,高中,广西大棚轨道科技有限公司,生活服务,民营,50-150人,五险;带薪年假;带薪培训;餐补;年终奖金;专业培训;五险齐全,提供住宿;多劳多得;行政班;节假日;月休8天,
国内外双上市银行贷款S2级客户经理月薪3W,2.5-3万,湖州·吴兴区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,带薪休假;商业保险;专业培训;不加班;培训,信贷;旅游;奖金;慰问金;晋升;六险;大平台,销售 银行客户经理
