职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
FICC业务管理部利率债高频交易员,1-2万,北京·朝阳区,1年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;通讯补贴;餐饮补贴;年终奖金;定期体检,会计;经济;数学;审批,金融 投资策略
投资经理,8千-1.5万,广州·天河区,1年及以上,本科,广东圣丰集团有限公司,多元化业务集团公司,民营,10000人以上,五险一金;节日福利,财务;行政;财务报表;法律;crm;项目跟进;进度追踪;资料处理;日常监管,投资
固收承做岗,1-2万,上海·浦东新区,无需经验,本科,华金证券股份有限公司,金融/投资/证券,国企,500-1000人,,项目管理;尽职调查;行业研究;业务谈判;项目执行;信息传递;工作底稿;资料收集整理;项目方案设计;材料制作,
市场高级/资深项目经理（重庆）,1.5-2万,重庆,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
财富总监（机构）(J13494)-重庆,6千-1.2万,重庆,5年及以上,硕士,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;绩效奖金;定期体检;年终奖金;专业培训;餐饮补贴;通讯补贴,,上市公司
投资经理,8千-1.5万,北京,1年及以上,本科,迈胜医疗设备有限公司,医疗设备/器械,民营,150-500人,五险一金;交通补贴;餐饮补贴;通讯补贴;定期体检;绩效奖金;年终奖金,,
客户经理,6千-1万,重庆·渝北区,1年及以上,大专,中财招商投资集团有限公司,多元化业务集团公司,民营,10000人以上,五险一金;餐饮补贴;专业培训,,
市场高级/资深项目经理（江西）,1.5-2万,南昌·红谷滩区,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
金融同业客户经理（总部业务部门）,8千-1.6万,杭州·萧山区,1年,本科,信达期货有限公司,金融/投资/证券,国企,150-500人,专业培训,理财,销售 金融 投资 理财顾问
投资助理,9千-1.5万,深圳·福田区,2年及以上,本科,深圳卓辉能源投资有限公司,金融/投资/证券,民营,未知,五险一金;绩效奖金;专业培训;定期体检;周末双休,,
债券交易员,8千-1.2万,宁波,2年及以上,本科,宁波东海银行股份有限公司,银行,国企,500-1000人,五险一金;定期体检;带薪年假,债券交易;员工食堂,
市场高级/资深项目经理（山东）,1.5-2万,济南,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
杭州新业路证券营业部-财富业务岗,9千-1.3万,杭州·上城区,5年及以上,本科,财通证券股份有限公司杭州分公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;补充医疗保险;员工旅游;通讯补贴,,
律师（资本市场-IPO方向）,1.8-2.8万,上海·浦东新区,4-7年,本科,上海市锦天城律师事务所,法律,民营,1000-5000人,餐饮补贴,项目管理;尽职调查;辅导;英文;验证;律师;尽职调查报告;项目执行;居家办公;全职,ipo 资本市场
业务序列岗（营销总监-机构业务方向）,8千-1.5万,广州·天河区,5年及以上,本科,世纪证券有限责任公司,金融/投资/证券,国企,1000-5000人,五险一金;专业培训,,
市场区域总监（江西）,2.5-4万,南昌·红谷滩区,2年及以上,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金,渠道;业务拓展,销售 市场营销
杭州市心南路证券营业部 - 财富管理部负责人,9千-1.3万,杭州·萧山区,5-7年,本科,财通证券股份有限公司杭州分公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;补充医疗保险;员工旅游;通讯补贴,,
质量控制部副总经理,3-5万,上海·浦东新区,7年及以上,硕士,华金证券股份有限公司,金融/投资/证券,国企,500-1000人,五险一金;绩效奖金;专业培训;定期体检;年终奖金;带薪年假;节日福利,质控体系;现场核查;内控检查;质控,
股票研究员（TMT行业）,1.3-2万,深圳·福田区,无需经验,硕士,深圳市凯丰投资管理有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;定期体检;专业培训;餐饮补贴;员工旅游;补充医疗保险;带薪年假;周末双休;节日福利;补充公积金,,
市场高级/资深项目经理（河南）,1.5-2万,郑州,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
机构销售(私募基金方向) (MJ001447),8千-1.5万,上海·黄浦区,无需经验,本科,上海东证期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;补充医疗保险;交通补贴;餐饮补贴;绩效奖金;年终奖金;定期体检,,
金融投资经理,8千-1.2万,深圳·龙华区,1年,本科,中科微电技术（深圳）有限公司,通信/电信/网络设备,事业单位,50-150人,五险一金,数据分析;财务;方案设计;尽职调查;经济;资金运作;后续管理,金融 投资策略 评估投资项目
基金做市交易岗,2-3万,上海·虹口区,1年及以上,硕士,国投证券股份有限公司,金融/投资/证券,国企,5000-10000人,五险一金,c++;市场分析;理工;编程语言;风险管理;资金管理;交易策略;做市;数据统计报送;团队建设,金融
资产管理中心固收交易员,1-1.5万·17薪,杭州·萧山区,1年及以上,硕士,信泰人寿保险股份有限公司,保险,国企,未知,五险一金;定期体检;餐饮补贴;节日福利,,金融
百亿私募基金运营经理,1-1.2万,海口·美兰区,无需经验,本科,海南岚湖私募基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金;补充医疗保险;带薪年假;带薪病假;员工旅游;年终奖金;定期体检;零食下午茶;有餐补;出差补贴,,
投后项目主管,8千-1.2万·13薪,杭州·上城区,1-3年,本科,博将集团有限公司,金融/投资/证券,民营,150-500人,五险一金;定期体检;绩效奖金,财务;审计;会计;咨询;运营管理;档案管理;法律;工商管理;cfa,金融
证券金融部交易策略岗,8千-1.5万,哈尔滨·松北区,1年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,五险一金;专业培训;定期体检;周末双休,证券从业资格;融资融券;cfa;期权;交易策略;两融;期权交易,金融
战略分析师(J10426),1.5-2.5万,深圳·罗湖区,5年,本科,中国燃气控股有限公司,新能源,合资,500-1000人,,行业研究;企业研究;战略管理;政策研究;产业研究;标杆研究,研究报告
总经理助理,8千-1.5万,昆明·盘龙区,3-4年,本科,云南摩丹股权投资基金管理合伙企业（有限合伙）,金融/投资/证券,民营,150-500人,五险一金;年终奖金;定期体检;周末双休;带薪年假,总经理助理,
首席财务官（CFO）,4-6万,深圳·福田区,8年及以上,本科,深圳捷扬微电子有限公司,电子技术/半导体/集成电路,合资,50-150人,五险一金;年终奖金;专业培训;股票期权,融资;芯片;半导体;首席财务官;CFO,IPO
财富顾问,2-4万,上海·长宁区,2年及以上,本科,招商证券股份有限公司上海长柳路证券营业部,金融/投资/证券,国企,10000人以上,五险一金;补充医疗保险;补充公积金;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;定期体检,,
投融资助理,8千-1.3万,广州·黄埔区,1-3年,本科,广州市香雪制药股份有限公司,制药/生物工程,已上市,1000-5000人,,全勤,投融资项目 上市公司
投资专员,8千-1.2万,昆山,无需经验,本科,台衡精密测控（昆山）股份有限公司,仪器仪表/工业自动化,外资（非欧美）,150-500人,五险一金;年终奖金,,上市公司
财富（机构）总监(J12831),1-2万,厦门,3-4年,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;专业培训;年终奖金;定期体检,机构业务;财富总监,金融 机构销售 财富管理
市场高级/资深项目经理（重庆）,1.5-2万,重庆,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
杭州转塘沙秀路证券营业部-财富管理部负责人,1-1.5万,杭州·西湖区,3年及以上,本科,财通证券股份有限公司杭州分公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;补充医疗保险;员工旅游;通讯补贴,,
基金运营助理（金融机构总部派驻）,7-9千,上海·静安区,1年及以上,本科,上海垒裕金融信息服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,周末双休;节日福利;定期体检;五险一金;专业培训;餐饮补贴,基金运营;估值;系统参数设置;会计核算;定期团建,
董事会秘书兼总裁助理,1.6-3万,深圳·龙岗区,3年及以上,硕士,深圳市祥根生物有限公司,制药/生物工程,民营,50-150人,餐饮补贴;专业培训;五险一金,财务;医药行业;法律;融资;生物医药;cfa;审批;cpa;总裁助理,金融
股票研究员（TMT行业）,1.3-2万,深圳·福田区,无需经验,硕士,深圳市凯丰投资管理有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;定期体检;专业培训;餐饮补贴;员工旅游;补充医疗保险;带薪年假;周末双休;节日福利;补充公积金,,
融资总监,2-4万,上海,2年及以上,本科,星工聚将（苏州）智能科技有限公司,电子技术/半导体/集成电路,民营,50-150人,,,
产品运营岗（估值方向）,7千-1.2万,重庆·渝中区,无需经验,硕士,中信建投期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;定期体检;企业年金,分红,
市场区域总监（江西）,2.5-4万,南昌·红谷滩区,2年及以上,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金,渠道;业务拓展,销售 市场营销
证券专员,6-9千·13薪,无锡·梁溪区,2年及以上,本科,无锡市太极实业股份有限公司,电子技术/半导体/集成电路,国企,500-1000人,培训,,证券事务专员 上市公司
金融机构业务经理,8千-1万,深圳·福田区,无需经验,本科,永安期货股份有限公司,金融/投资/证券,国企,1000-5000人,保险,期货从业资格;市场开拓,
市场高级/资深项目经理（四川）,1.5-2万,成都·天府新区,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
金融分析师(CFA),1-2万,广州,1-8年,本科,友邦资讯科技（广州）有限公司,计算机软件,外资（非欧美）,1000-5000人,五险一金;补充医疗保险;员工旅游;餐饮补贴;专业培训;绩效奖金;定期体检,investment;delivery;弹性工作,
中心营业部联席总经理,1.5-2万,上海·静安区,3-4年,本科,华鑫证券有限责任公司,金融/投资/证券,国企,1000-5000人,保险;五险一金;交通补贴,证券从业资格;期货;信托;客户资源;开拓市场;投行;团队建设管理;发展客户,银行
财富顾问,9千-1.5万,深圳·南山区,无需经验,本科,招商证券股份有限公司深圳兴科一路云城证券营业部,金融/投资/证券,已上市,10000人以上,五险一金;交通补贴;餐饮补贴,理财经理;基金销售;理财师;理财;基金,理财顾问 财富顾问 投资顾问 证券 营销
市场高级/资深项目经理（湖北）,1.5-2万,武汉,3-4年,本科,东方金诚国际信用评估有限公司,金融/投资/证券,国企,150-500人,五险一金;交通补贴;通讯补贴;年终奖金;绩效奖金;定期体检,,
金融分析师(CFA),1-2万,成都,1-8年,本科,友邦资讯科技（广州）有限公司,计算机软件,外资（非欧美）,1000-5000人,五险一金;补充医疗保险;员工旅游;餐饮补贴;专业培训;绩效奖金;定期体检,investment;delivery;弹性工作,
创始人执行助理,4-5千,昆明,1年及以上,本科,盘龙区纳瑞克斯健康咨询服务部（个体工商户）,娱乐/休闲/体育,民营,少于50人,五险一金;交通补贴;餐饮补贴;专业培训;出国机会,,
投资者关系,1.3-2.5万,苏州·吴江区,5年及以上,本科,苏州赛伍应用技术股份有限公司,石油/化工/矿产/地质,已上市,500-1000人,,管理;经济;市场动态;信息披露;财报;电话会议;公告,金融 路演 资本市场
投资经理,20-40万/年,北京·朝阳区,5年及以上,本科,北京首旅资本管理有限公司,金融/投资/证券,国企,50-150人,五险一金;带薪年假;定期体检,,
企业业务岗（贵州分公司）,6千-1.2万,贵阳·观山湖区,3年及以上,本科,中天国富证券有限公司,金融/投资/证券,民营,500-1000人,,,
华泰人寿湖北分公司-经代主管,5千-1万,武汉·江汉区,2年及以上,本科,华泰人寿保险股份有限公司,保险,合资,500-1000人,保险,咨询;宣传;理赔;法律法规;投保;寿险行业;激励;监管政策;建议书,销售
PE经理,1.5-2万,长沙·长沙县,5年及以上,大专,蓝思科技股份有限公司,原材料和加工,已上市,10000人以上,培训,财务;尽职调查;经济;投后管理;投行;pe;项目筛选;团队建设,金融 投资建议 资本市场运作
董事会秘书,2.5-5万·14薪,无锡·滨湖区,10年及以上,硕士,研微（江苏）半导体科技有限公司,电子技术/半导体/集成电路,民营,150-500人,五险一金;交通补贴,财务;会议纪要;商业计划书;融资计划;公司章程,路演 商业模式 路演ppt 投资者关系 董事会
财务负责人,1.8-3.6万·13薪,无锡·新吴区,10年及以上,本科,无锡市尚沃医疗电子股份有限公司,医疗设备/器械,民营,50-150人,五险一金;绩效奖金;专业培训;定期体检,财务;预算;税务;核算;投行;pe;会计准则;管理报表,银行 ipo
金融领域讲师招募,5千/天,上海·浦东新区,10年及以上,本科,上海法询金融信息服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,培训,经济;资管;行业研究;学习平台,金融 银行 财富管理 金融机构 ipo
