职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
分公司副总经理,1.5-3万,杭州·拱墅区,8年及以上,本科,东方财富证券股份有限公司,金融/投资/证券,民营,1000-5000人,,团队建设,
基金产品助理（金融机构总部派驻）,7-9千·15薪,上海·浦东新区,无需经验,本科,上海元年金融信息服务有限公司,金融/投资/证券,民营,未知,五险一金;补充医疗保险;交通补贴;餐饮补贴;绩效奖金;年终奖金;定期体检,,
艺术品投资基金经理,1.5-2万,上海,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,上市公司
投资经理岗-国有理财公司,16-30万/年,青岛·崂山区,5年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,五险一金,管理;理工科;资产配置;cfa;固定收益;债券;公募基金;宏观经济;保险;薪资面议,金融 投资策略
投资基金经理,2.5-3.5万,北京·朝阳区,5年及以上,本科,猎创企聘（四川）科技有限公司,贸易/进出口,民营,未知,五险一金;年终奖金;绩效奖金,财务;尽职调查;项目开发;经济;市场分析;法律;cfa;投后管理;cpa,金融
期货交易员,1-2万,深圳·罗湖区,1年及以上,,深圳市格纳斯黄金科技有限公司,采掘业/冶炼,民营,未知,带薪培训;绩效奖金;带薪休假;周末双休;年假;假日福利;补贴,交易;财经;旅游;节假日;晋升平台;上不封顶,
期货交易员,1-2万,深圳·罗湖区,1年及以上,,深圳市格纳斯黄金科技有限公司,采掘业/冶炼,民营,未知,带薪培训;绩效奖金;带薪休假;周末双休;年假;假日福利;补贴,交易;财经;旅游;节假日;晋升平台;上不封顶,
投资经理（二级市场）,2.5-5万,北京,3年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,数据分析;财务;基金;尽职调查;经济;宏观经济;国有企业;旅游;保险,金融 金融产品 投资策略 投资组合
期货交易员,6千-1.2万,惠州·惠阳区,1-3年,中技/中专,概率空间（惠州）科技有限公司,金融/投资/证券,民营,未知,周末双休;绩效奖金;股票期权;弹性工作;提成,国内期货交易;期货交易员;期货操盘手;股指期货;奖金;居家办公,
基金经理助理,8千-1.1万,广州·荔湾区,1年及以上,本科,大参林投资集团有限公司,房地产,民营,150-500人,五险一金;年终奖金;专业培训;员工旅游;带薪年假;周末双休;节日福利;免费班车;培训,,
量化投资经理,2-3万,上海·浦东新区,2年及以上,硕士,上海坤阳私募基金管理有限公司,金融/投资/证券,民营,少于50人,,,
外汇基金经理,1.5-2万,上海,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,上市公司
投资经理,1-1.5万,广州·番禺区,1年及以上,硕士,广东奶酪投资基金股份有限公司,物业管理/商业中心,民营,少于50人,,,二级私募基金
FA投资者关系经理（IRM）,8千-1.5万,成都,2年及以上,本科,四川西部融资服务中心,金融/投资/证券,民营,50-150人,,财务;基金;经济;法律;投行;pe;fa,金融 投资 投融资
投融资协同经理,1.3-1.8万,南京·建邺区,1年及以上,硕士,南京市创新投资集团有限责任公司,金融/投资/证券,国企,50-150人,五险一金,办公软件;基金;cfa;cpa;公文写作;现场执行;会计师事务所;基金管理;推介,证券从业
矿业基金经理,2-2.5万,上海,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,上市公司
资产管理中心-量化投资部-CTA量化投资经理G00909,2-4万,上海,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,补充医保,
投资经理,20-30万/年,杭州·西湖区,5年及以上,本科,浙江华康药业股份有限公司,制药/生物工程,已上市,1000-5000人,五险一金;员工旅游;出国机会;专业培训;定期体检;年终奖金;绩效奖金;餐饮补贴;交通补贴,生物化工,
托管业务岗（资产托管部）(J11044),1-2万,南京·建邺区,2年及以上,硕士,南京证券股份有限公司,金融/投资/证券,国企,1000-5000人,,,
投资经理(光电子方向),16-23万/年,武汉,3年及以上,本科,武汉首义人才服务有限责任公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金,尽职调查;投后管理;工商注册;光电子;基协备案;外部谈判;基金从业资格;留学服务中心,金融 股权投资
高级投资经理,2-4万,上海·徐汇区,3年及以上,本科,上海颜惊泓企业管理有限公司,互联网/电子商务,民营,50-150人,五险一金;补充医疗保险;补充公积金;免费班车;通讯补贴;年终奖金;定期体检;弹性工作;专业培训;员工旅游,,
机构业务经理,1.4-2.4万·13薪,上海·浦东新区,2年及以上,本科,新湖期货股份有限公司上海分公司,金融/投资/证券,民营,少于50人,五险一金;提成奖金;周末双休;补充公积金;定期体检;年终奖金;绩效奖金,,
投资经理,1.5-2.5万,上海·静安区,3年及以上,硕士,上海产业转型升级私募基金管理有限公司,金融/投资/证券,国企,少于50人,五险一金;定期体检;绩效奖金;带薪年假;企业年金,直投,
投资经理,1-2万,重庆·沙坪坝区,5年及以上,本科,重庆兴亚控股集团有限公司,物业管理/商业中心,民营,500-1000人,,管理;尽职调查;法律;cfa;cpa;法律文书;尽职调查报告;财经,金融 投资分析
北京分公司-机构客户部-机构客户经理G00143,1.2-2.4万,北京,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,基金;补充医保,证券 私募
高级投资经理,1.5-3万,上海·徐汇区,3年及以上,本科,上海颜惊泓企业管理有限公司,互联网/电子商务,民营,50-150人,五险一金;补充医疗保险;补充公积金;免费班车;通讯补贴;年终奖金;定期体检;弹性工作;专业培训;员工旅游,,
融资经理,2-4万·15薪,苏州·吴中区,3年及以上,本科,风巡摩托（苏州）有限公司,多元化业务集团公司,民营,150-500人,年终奖金;餐饮补贴;带薪年假;节日福利;周末双休;免费班车,fa;股权;股权融资;六险一金,路演
项目投资经理,1-1.2万·13薪,厦门·湖里区,3年及以上,本科,厦门菱丰企业管理有限公司,电气/电力/水利,民营,少于50人,五险;带薪年假;零食下午茶;交通补贴,财务;谈判;财务管理;经济;法律;工商管理,金融 私募基金 投资
投资管理部投资经理（专员级）,15-20万/年,深圳·南山区,3年及以上,硕士,深圳市西部人力资源发展有限公司,多元化业务集团公司,国企,1000-5000人,五险一金,经济;融资;投后管理;并购;资本运作;上市;运营情况分析,金融
高级投资经理,8千-1.2万,南昌·青山湖区,3年及以上,本科,南昌航亿咨询管理有限公司,专业服务(咨询、人力资源、财会),国企,少于50人,定期体检;五险一金;周末双休,一级半;类固收;国有企业;扁平管理,
高级投资经理-东风资管,1.3-1.8万,武汉·蔡甸区,5年及以上,本科,东风汽车集团股份有限公司,汽车,国企,10000人以上,五险一金;定期体检;带薪年假;周末双休,基金从业资格,证券投资 私募股权投资
交易员,5-8千,厦门,1-3年,,厦门市湖里区恒明曼网络科技工作室（个体工商户）,互联网/电子商务,民营,少于50人,,,
基金中的基金（FOF）经理,2-2.5万,上海·普陀区,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,上市公司
董事总经理,2-4万,重庆·渝北区,5年及以上,本科,四川巴罗股权投资基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金,风险控制;经济管理,金融 金融行业 投资 投资管理 基金产品销售 私募基金募集
投资经理,8千-1.1万,天津·和平区,2年,本科,中国中金财富证券有限公司,金融/投资/证券,国企,5000-10000人,五险一金;补充医疗保险;定期体检;专业培训;绩效奖金;餐饮补贴,理财;基金,财富管理 投资经理 金融 销售
期货交易员,6千-1.2万,广州,1-3年,中技/中专,概率空间（惠州）科技有限公司,金融/投资/证券,民营,未知,周末双休;绩效奖金;股票期权;弹性工作,国内期货;国内商品期货;股指期货;期货交易员;期货操盘手;奖金;居家办公,
精英/首席客户经理,35-70万/年,上海·虹口区,5-7年,本科,中信证券股份有限公司上海分公司,金融/投资/证券,国企,10000人以上,五险一金;补充医疗保险;补充公积金;绩效奖金,,金融 投资顾问 证券 银行 理财顾问 客户经理 金融产品 证券投资
投资经理兼交易员,8千-1.5万·13薪,广州·花都区,3年及以上,本科,深圳市新狮峰投资有限公司,房地产,民营,150-500人,五险一金;年终奖金,办公软件;经济;询价;法律法规;交易;股票交易;交易数据,金融 证券交易 投资分析
产业投资部经理,1-1.5万,西安·高新技术产业开发区,3年及以上,本科,深圳东海万银股权投资基金管理有限公司,金融/投资/证券,民营,50-150人,五险一金;定期体检;年终奖金;餐饮补贴;交通补贴;带薪年假;节日福利;周末双休;弹性工作;业绩提成,,
理财经理,2-4万,深圳·南山区,3年及以上,大专,深圳市善缘金基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金;双休,谈判;word;商务;业务拓展;excel表格;商务对接;优化解决方案;产品服务方案,销售 客户关系
平安车险客户经理,1.5-2万,北京·丰台区,无需经验,大专,中国平安人寿保险股份有限公司北京分公司,保险,民营,未知,,保险;车险;理赔,销售 金融 销售代表 客户经理 渠道销售 直销销售
机构业务经理,6千-1万,成都·武侯区,无需经验,本科,东方财富证券股份有限公司成都分公司,金融/投资/证券,民营,未知,五险一金;绩效奖金;定期体检;专业培训;带薪年假;员工旅游;节日福利;周末双休,机构客户;保险,金融 证券
业务经理,1.2-1.8万,深圳·南山区,2年及以上,本科,国泰海通证券股份有限公司深圳分公司,金融/投资/证券,国企,500-1000人,五险一金;节日福利;补充医疗保险;专业培训;绩效奖金;年终奖金;定期体检;餐饮补贴;带薪年假;带薪病假,,
投资关系经理,1-1.5万,成都·武侯区,2年及以上,本科,四川西部融资服务中心,金融/投资/证券,民营,50-150人,,财务;基金;经济;法律;投行;pe;fa,金融 投资 投融资 上市公司
招商证券客户经理,10-20万/年,上海·宝山区,1年,本科,招商证券股份有限公司上海牡丹江路证券营业部,金融/投资/证券,国企,50-150人,五险一金;定期体检;员工旅游;交通补贴;年终奖金;节日福利;加班补贴;高温补贴;做五休二,,
投资经理,3-3.5万,青岛,5年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,宣传;资产配置;固定收益;债券;宏观经济;货币政策;流动性管理;国有企业;旅游,投资策略 投资运作 投资策略制定
投资经理,15-23万/年,成都,3年及以上,硕士,四川中物创业投资有限公司,金融/投资/证券,民营,少于50人,五险一金;补充医疗保险;免费班车;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;弹性工作,,
业务经理,1.2-1.8万,深圳·南山区,2年及以上,本科,国泰海通证券股份有限公司深圳分公司,金融/投资/证券,国企,500-1000人,五险一金;节日福利;补充医疗保险;专业培训;绩效奖金;年终奖金;定期体检;餐饮补贴;带薪年假;带薪病假,,
理财经理,2-4万,深圳·南山区,3年及以上,大专,深圳市善缘金基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金;双休,谈判;word;商务;业务拓展;excel表格;商务对接;优化解决方案;产品服务方案,销售 客户关系
北京朝阳分公司-产业客户部-产业客户经理G00239,7.5千-1.5万,北京,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,期货;基金;补充医保,证券
西南财富中心理财经理,6千-1万,成都,3-4年,本科,中泰证券股份有限公司,金融/投资/证券,已上市,5000-10000人,餐饮补贴;绩效奖金;年终奖金;专业培训;定期体检;五险两金,理财经理;基金,证券 客户经理
二级市场证券交易员,5千-1万,重庆·渝北区,2年及以上,本科,四川巴罗股权投资基金管理有限公司,金融/投资/证券,民营,少于50人,,,
投资经理,1.3-1.7万,上海,2年,本科,上海申通科技（集团）有限公司,金融/投资/证券,民营,150-500人,五险一金;年终奖金;交通补贴,,投资经理
产业链金融客户经理,1-1.5万,武汉·武昌区,1年,本科,方正中期期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;绩效奖金;专业培训;周末双休;生日福利,期货资格证,
平安车险客户经理,1.5-2万,北京·丰台区,无需经验,大专,中国平安人寿保险股份有限公司北京分公司,保险,民营,未知,,保险;车险;理赔,销售 金融 销售代表 客户经理 渠道销售 直销销售
国金道富-机构业务销售经理(J16279),1-2万,上海,2-3年,本科,国金证券股份有限公司,金融/投资/证券,民营,1000-5000人,,,
招商证券客户经理,10-20万/年,上海·宝山区,1年,本科,招商证券股份有限公司上海牡丹江路证券营业部,金融/投资/证券,国企,50-150人,五险一金;定期体检;员工旅游;交通补贴;年终奖金;节日福利;加班补贴;高温补贴;做五休二,,
投资经理(J10743),2.5-3万,广州·增城区,5年及以上,本科,广东袋鼠妈妈供应链管理有限公司,互联网/电子商务,民营,1000-5000人,五险一金;专业培训;定期体检,管理;项目管理;谈判;团队管理;基金;经济;股票;资产配置,金融 金融产品
安徽分公司（筹）-副总经理兼部门总监G01311,2-4万,合肥·蜀山区,3年及以上,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利;培训;补充公积金,补充医保,
机构业务经理,6千-1万,成都·武侯区,无需经验,本科,东方财富证券股份有限公司成都分公司,金融/投资/证券,民营,未知,五险一金;绩效奖金;定期体检;专业培训;带薪年假;员工旅游;节日福利;周末双休,机构客户;保险,金融 证券
投融资经理,2-3万,广州,3年及以上,本科,中国秦发集团,多元化业务集团公司,民营,1000-5000人,五险一金;补充医疗保险,谈判签约;英语;尽职调查;经济;交易结构设计;项目融资,金融 银行 金融机构 私募基金
股票交易员,8千-1.5万·13薪,广州·花都区,3年及以上,本科,深圳市新狮峰投资有限公司,房地产,民营,150-500人,五险一金;年终奖金,办公软件;经济;询价;股票;交易;股票交易;交易数据;交易执行;市场分析判断,金融
金融产品经理,1-1.6万,上海·浦东新区,1年及以上,本科,国建鹏城（深圳）投资有限公司,金融/投资/证券,民营,150-500人,社保缴纳;五险一金;补充医疗保险;通讯补贴;定期体检;专业培训,城投债;政信;债权;底薪,城投融资
融资经理,1.5-2.5万,上海·闵行区,5年及以上,本科,上海鉴唯企业发展有限公司,多元化业务集团公司,民营,未知,五险一金;定期体检;绩效奖金;带薪年假;节日福利,财务;融资;融资方案;融资渠道,金融机构 投融资
操盘手,1-2万,上海,2年及以上,本科,上海恒实投资集团有限公司,房地产,民营,50-150人,五险一金;交通补贴;餐饮补贴;绩效奖金;定期体检,,
副总经理,40-80万/年,上海·虹口区,5年及以上,本科,中信证券股份有限公司上海分公司,金融/投资/证券,国企,10000人以上,五险一金;通讯补贴;年终奖金;定期体检;专业培训;补充医疗保险,副总经理;总经理;两融业务,上市公司
融资经理,1.5-2.5万,上海·闵行区,5年及以上,本科,上海鉴唯企业发展有限公司,多元化业务集团公司,民营,未知,五险一金;定期体检;绩效奖金;带薪年假;节日福利,财务;融资;融资方案;融资渠道,金融机构 投融资
个人银行客户经理(财富方向) ID177027,1.6-3.2万,上海,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,财务;维护客户关系;客户资源;理财,销售 市场营销 金融 营销策略 营销推广 渠道拓展
股票交易员,8千-1.5万·13薪,广州·花都区,3年及以上,本科,深圳市新狮峰投资有限公司,房地产,民营,150-500人,五险一金;年终奖金,办公软件;经济;询价;股票;交易;股票交易;交易数据;交易执行;市场分析判断,金融
证券理财经理,5千-1万,武汉·江岸区,无需经验,本科,方正证券股份有限公司,金融/投资/证券,民营,未知,五险一金;补充医疗保险;补充公积金;免费班车;员工旅游;交通补贴,理财咨询;理财经理,财富管理 证券理财 证券公司
副总经理,40-80万/年,上海·虹口区,5年及以上,本科,中信证券股份有限公司上海分公司,金融/投资/证券,国企,10000人以上,五险一金;通讯补贴;年终奖金;定期体检;专业培训;补充医疗保险,副总经理;总经理;两融业务,上市公司
个人银行客户经理(财富方向) ID177027,1.6-3.2万,深圳,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,财务;维护客户关系;客户资源;理财,销售 市场营销 金融 营销策略 营销推广 渠道拓展
投资经理,1-2万,杭州·拱墅区,3年及以上,本科,国海良时期货有限公司,金融/投资/证券,国企,150-500人,五险一金;定期体检;绩效奖金;年终奖金;餐饮补贴,期货从业资格;资产管理,投资咨询 投资策略 投资管理 投资研究
投资并购高级经理/经理(J10345),20-40万/年,上海·黄浦区,5年及以上,本科,上海百联百货经营有限公司,批发/零售,国企,150-500人,五险一金;餐饮补贴;带薪年假;节日福利,经济;市场分析;财务测算;风险评判;地产,金融 投资报告 经济金融
证券投研岗,1.5-2.5万,深圳·福田区,3年及以上,本科,国建鹏城（深圳）投资有限公司,金融/投资/证券,民营,150-500人,五险一金;补充医疗保险,药学;医药;医学;医疗器械;生物学;基金;经济学;cfa,金融 投资建议 上市公司
操盘手,1-2万,上海,2年及以上,本科,上海恒实投资集团有限公司,房地产,民营,50-150人,五险一金;交通补贴;餐饮补贴;绩效奖金;定期体检,,
证券投资部-权益类投资经理,3-4万,上海,5-7年,本科,申港证券股份有限公司,金融/投资/证券,合资,1000-5000人,,扁平管理;领导好,
私募基金研究员,1.5-2.5万,上海·浦东新区,3年及以上,硕士,深圳市永佑顺财务代理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,,证券从业资格;编程;写作;尽调;数理统计;定量分析;搭建模型,客户服务 研究报告 基金投资
综合金融客户经理（可兼职 弹性工作制）,2-4万·18薪,北京·石景山区,1年,大专,中国平安人寿保险股份有限公司北京分公司,金融/投资/证券,国企,10000人以上,绩效奖金;年终奖金;补充医疗保险;弹性工作;定期体检,家族传承;理财;资产配置;股票;基金,银行 证券 营销
北京市东城分公司-机构客户部-机构客户经理G00287,1-2万,北京,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,补充医保;互联网;房地产;电脑,
证券投资顾问（理财经理）,1-2万,惠州·惠城区,3年及以上,本科,广发证券股份有限公司惠州下埔路证券营业部,金融/投资/证券,民营,少于50人,五险一金;绩效奖金;专业培训;年终奖金;定期体检;餐饮补贴;通讯补贴;补充医疗保险;交通补贴;带薪年假;节日福利,,
